timestamp,user_id,variant,movie_id,rating,metadata
2025-12-24T18:14:34.610115,anonymous,system,,,"{'metadata': 'endpoint=main.index,latency_ms=8.99,method=GET,status=200'}"
2025-12-24T18:14:34.627287,anonymous,system,,,"{'metadata': 'endpoint=static,latency_ms=6.54,method=GET,status=200'}"
2025-12-24T18:14:35.230433,anonymous,system,,,"{'metadata': 'endpoint=/favicon.ico,latency_ms=0.16,method=GET,status=404'}"
2025-12-24T18:14:46.379918,1,system,,,"{'metadata': 'endpoint=main.login,latency_ms=0.19,method=POST,status=200'}"
2025-12-24T18:14:46.622067,1,system,,,"{'metadata': 'endpoint=main.recommendations,latency_ms=3.86,method=GET,status=200'}"
2025-12-24T18:14:54.677267,1,system,,,"{'metadata': 'endpoint=main.click,latency_ms=3.19,method=POST,status=200'}"
2025-12-24T18:14:56.753282,1,system,,,"{'metadata': 'endpoint=main.rate,latency_ms=0.12,method=POST,status=200'}"
2025-12-24T18:14:56.976945,1,system,,,"{'metadata': 'endpoint=analytics.log_engagement,latency_ms=0.11,method=POST,status=200'}"
2025-12-24T18:14:58.731819,1,system,,,"{'metadata': 'endpoint=main.click,latency_ms=0.73,method=POST,status=200'}"
2025-12-24T18:14:59.798760,1,system,,,"{'metadata': 'endpoint=main.rate,latency_ms=0.11,method=POST,status=200'}"
2025-12-24T18:15:00.027642,1,system,,,"{'metadata': 'endpoint=analytics.log_engagement,latency_ms=0.16,method=POST,status=200'}"
2025-12-24T18:15:02.786158,1,system,,,"{'metadata': 'endpoint=analytics.dashboard,latency_ms=8.31,method=GET,status=200'}"
2025-12-24T18:15:03.058118,1,system,,,"{'metadata': 'endpoint=static,latency_ms=3.41,method=GET,status=304'}"
2025-12-24T18:15:03.356278,1,system,,,"{'metadata': 'endpoint=analytics.get_metrics,latency_ms=14.09,method=GET,status=200'}"
2025-12-24T18:15:03.598146,1,system,,,"{'metadata': 'endpoint=analytics.recent_events,latency_ms=12.55,method=GET,status=200'}"
2025-12-24T18:15:07.610387,1,system,,,"{'metadata': 'endpoint=analytics.get_metrics,latency_ms=11.80,method=GET,status=200'}"
2025-12-24T18:15:07.907837,1,system,,,"{'metadata': 'endpoint=analytics.recent_events,latency_ms=14.10,method=GET,status=200'}"
2025-12-24T18:15:12.234421,1,system,,,"{'metadata': 'endpoint=analytics.get_metrics,latency_ms=12.29,method=GET,status=200'}"
